ang sin(ang)  cos(ang)
--- -------  -------
  0 0.0000   1.0000
  2 0.0349   0.9994
  4 0.0698   0.9976
  6 0.1045   0.9945
  8 0.1392   0.9903
 10 0.1736   0.9848
 12 0.2079   0.9781
 14 0.2419   0.9703
 16 0.2756   0.9613
 18 0.3090   0.9511
 20 0.3420   0.9397
 22 0.3746   0.9272
 24 0.4067   0.9135
 26 0.4384   0.8988
 28 0.4695   0.8829
 30 0.5000   0.8660
 32 0.5299   0.8480
 34 0.5592   0.8290
 36 0.5878   0.8090
 38 0.6157   0.7880
 40 0.6428   0.7660
 42 0.6691   0.7431
 44 0.6947   0.7193
 46 0.7193   0.6947
 48 0.7431   0.6691
 50 0.7660   0.6428
 52 0.7880   0.6157
 54 0.8090   0.5878
 56 0.8290   0.5592
 58 0.8480   0.5299
 60 0.8660   0.5000
 62 0.8829   0.4695
 64 0.8988   0.4384
 66 0.9135   0.4067
 68 0.9272   0.3746
 70 0.9397   0.3420
 72 0.9511   0.3090
 74 0.9613   0.2756
 76 0.9703   0.2419
 78 0.9781   0.2079
 80 0.9848   0.1736
 82 0.9903   0.1392
 84 0.9945   0.1045
 86 0.9976   0.0698
 88 0.9994   0.0349
 90 1.0000   0.0000
 92 0.9994   -0.0349
 94 0.9976   -0.0698
 96 0.9945   -0.1045
 98 0.9903   -0.1392
100 0.9848   -0.1736
